data.type,age,d13C,formation,member,taxon,sample.id,reference,notes
enamel,3.385,0.7,Hadar,SidiHakoma,Aepycerotini,A.L. 132,"Wynn et al., 2016",
enamel,3.385,-0.8,Hadar,SidiHakoma,Aepycerotini,A.L. 129,"Wynn et al., 2016",
enamel,3.385,-0.7,Hadar,SidiHakoma,Aepycerotini,A.L. 129,"Wynn et al., 2016",
enamel,3.385,-2.1,Hadar,SidiHakoma,Aepycerotini,A.L. 225,"Wynn et al., 2016",
enamel,3.385,0.9,Hadar,SidiHakoma,Aepycerotini,A.L. 199,"Wynn et al., 2016",
enamel,3.385,-0.2,Hadar,SidiHakoma,Aepycerotini,A.L. 132,"Wynn et al., 2016",
enamel,3.385,-1.1,Hadar,SidiHakoma,Aepycerotini,A.L. 248,"Wynn et al., 2016",
enamel,3.385,-5.5,Hadar,SidiHakoma,Aepycerotini,A.L. 128,"Wynn et al., 2016",
enamel,3.385,2.9,Hadar,SidiHakoma,Aepycerotini,A.L. 200,"Wynn et al., 2016",
enamel,3.385,1.3,Hadar,SidiHakoma,Aepycerotini,A.L. 132,"Wynn et al., 2016",
enamel,3.385,-3.7,Hadar,SidiHakoma,Bovini,A.L. 237,"Wynn et al., 2016",
enamel,3.385,-0.9,Hadar,SidiHakoma,Bovini,A.L. 237,"Wynn et al., 2016",
enamel,3.385,-4.8,Hadar,SidiHakoma,Bovini,A.L. 224,"Wynn et al., 2016",
enamel,3.385,-4.6,Hadar,SidiHakoma,Bovini,A.L. 1601,"Wynn et al., 2016",
enamel,3.385,-7.4,Hadar,SidiHakoma,Bovini,A.L. 223,"Wynn et al., 2016",
enamel,3.385,-13,Hadar,SidiHakoma,Deinotherium,A.L. 247,"Wynn et al., 2016",
enamel,3.385,-8.7,Hadar,SidiHakoma,Deinotherium,A.L. 247,"Wynn et al., 2016",
enamel,3.385,-4.4,Hadar,SidiHakoma,Elephas,A.L. 224,"Wynn et al., 2016",
enamel,3.385,0.5,Hadar,SidiHakoma,Elephas,A.L. 249,"Wynn et al., 2016",
enamel,3.385,-2.2,Hadar,SidiHakoma,Elephas,A.L. 223,"Wynn et al., 2016",
enamel,3.385,-5.6,Hadar,SidiHakoma,Elephas,A.L. 223,"Wynn et al., 2016",
enamel,3.385,-4.4,Hadar,SidiHakoma,Eurygnathohippus,A.L. 129,"Wynn et al., 2016",
enamel,3.385,-1.2,Hadar,SidiHakoma,Eurygnathohippus,A.L. 237,"Wynn et al., 2016",
enamel,3.385,2.7,Hadar,SidiHakoma,Eurygnathohippus,A.L. 237,"Wynn et al., 2016",
enamel,3.385,-3.3,Hadar,SidiHakoma,Eurygnathohippus,A.L. 225,"Wynn et al., 2016",
enamel,3.385,-3.5,Hadar,SidiHakoma,Eurygnathohippus,A.L. 223,"Wynn et al., 2016",
enamel,3.385,0.6,Hadar,SidiHakoma,Eurygnathohippus,A.L. 237,"Wynn et al., 2016",
enamel,3.385,-0.2,Hadar,SidiHakoma,Eurygnathohippus,A.L. 224,"Wynn et al., 2016",
enamel,3.385,-3.2,Hadar,SidiHakoma,Eurygnathohippus,A.L. 132,"Wynn et al., 2016",
enamel,3.385,-11.3,Hadar,SidiHakoma,Giraffa,A.L. 200,"Wynn et al., 2016",
enamel,3.385,-10.4,Hadar,SidiHakoma,Giraffa,A.L. 125,"Wynn et al., 2016",
enamel,3.385,-10.9,Hadar,SidiHakoma,Giraffa,A.L. 232,"Wynn et al., 2016",
enamel,3.385,-0.8,Hadar,SidiHakoma,Hippopotamidae,A.L. 277,"Wynn et al., 2016",
enamel,3.385,-8.2,Hadar,SidiHakoma,Kolpochoerus,A.L. 200,"Wynn et al., 2016",
enamel,3.385,-3.3,Hadar,SidiHakoma,Kolpochoerus,A.L. 199,"Wynn et al., 2016",
enamel,3.385,-2.5,Hadar,SidiHakoma,Kolpochoerus,A.L. 129,"Wynn et al., 2016",
enamel,3.385,-5.7,Hadar,SidiHakoma,Kolpochoerus,A.L. 145,"Wynn et al., 2016",
enamel,3.385,-2.7,Hadar,SidiHakoma,Kolpochoerus,A.L. 237,"Wynn et al., 2016",
enamel,3.385,-6.5,Hadar,SidiHakoma,Kolpochoerus,A.L. 224,"Wynn et al., 2016",
enamel,3.385,-5.6,Hadar,SidiHakoma,Kolpochoerus,A.L. 1582,"Wynn et al., 2016",
enamel,3.385,-6.3,Hadar,SidiHakoma,Kolpochoerus,A.L. 1522,"Wynn et al., 2016",
enamel,3.385,-2.8,Hadar,SidiHakoma,Kolpochoerus,A.L. 199,"Wynn et al., 2016",
enamel,3.385,-5.3,Hadar,SidiHakoma,Notochoerus,A.L. 237,"Wynn et al., 2016",
enamel,3.385,-1.2,Hadar,SidiHakoma,Notochoerus,A.L. 198,"Wynn et al., 2016",
enamel,3.385,0.2,Hadar,SidiHakoma,Notochoerus,A.L. 883,"Wynn et al., 2016",
enamel,3.385,-3.6,Hadar,SidiHakoma,Notochoerus,A.L. 248,"Wynn et al., 2016",
enamel,3.385,-5.8,Hadar,SidiHakoma,Notochoerus,A.L. 199,"Wynn et al., 2016",
enamel,3.385,-3,Hadar,SidiHakoma,Nyanzachoerus,A.L. 129,"Wynn et al., 2016",
enamel,3.385,-1.8,Hadar,SidiHakoma,Nyanzachoerus,A.L. 1592,"Wynn et al., 2016",
enamel,3.385,-5.5,Hadar,SidiHakoma,Nyanzachoerus,A.L. 145,"Wynn et al., 2016",
enamel,3.385,-3,Hadar,SidiHakoma,Nyanzachoerus,A.L. 129,"Wynn et al., 2016",
enamel,3.385,-5.2,Hadar,SidiHakoma,Nyanzachoerus,A.L. 145,"Wynn et al., 2016",
enamel,3.385,-4.4,Hadar,SidiHakoma,Nyanzachoerus,A.L. 223,"Wynn et al., 2016",
enamel,3.385,-8.9,Hadar,SidiHakoma,Sivatherium,A.L. 237,"Wynn et al., 2016",
enamel,3.385,-4.3,Hadar,SidiHakoma,Theropithecus,A.L. 223,"Wynn et al., 2016",
enamel,3.385,-4.2,Hadar,SidiHakoma,Theropithecus,A.L. 199,"Wynn et al., 2016",
enamel,3.385,-3.3,Hadar,SidiHakoma,Theropithecus,A.L. 200,"Wynn et al., 2016",
enamel,3.385,-6.9,Hadar,SidiHakoma,Theropithecus,A.L. 905,"Wynn et al., 2016",
enamel,3.385,-3.3,Hadar,SidiHakoma,Theropithecus,A.L. 905,"Wynn et al., 2016",
enamel,3.385,-3.6,Hadar,SidiHakoma,Theropithecus,A.L. 734,"Wynn et al., 2016",
enamel,3.385,-5.5,Hadar,SidiHakoma,Theropithecus,A.L. 129,"Wynn et al., 2016",
enamel,3.385,-2.9,Hadar,SidiHakoma,Theropithecus,A.L. 199,"Wynn et al., 2016",
enamel,3.385,-3.9,Hadar,SidiHakoma,Theropithecus,A.L. 200,"Wynn et al., 2016",
enamel,3.385,-5.1,Hadar,SidiHakoma,Theropithecus,A.L. 200,"Wynn et al., 2016",
enamel,3.385,-1.9,Hadar,SidiHakoma,Theropithecus,A.L. 1621,"Wynn et al., 2016",
enamel,3.385,-5.7,Hadar,SidiHakoma,Theropithecus,A.L. 200,"Wynn et al., 2016",
enamel,3.385,-4.9,Hadar,SidiHakoma,Theropithecus,A.L. 200,"Wynn et al., 2016",
enamel,3.38,-6.7,Hadar,SidiHakoma,Australopithecus,A.L.225–8,"Wynn et al., 2013",
enamel,3.38,-10,Hadar,SidiHakoma,Australopithecus,A.L.249–27,"Wynn et al., 2013",
enamel,3.38,-9.6,Hadar,SidiHakoma,Australopithecus,A.L.660–1,"Wynn et al., 2013",
enamel,3.38,-13,Hadar,SidiHakoma,Australopithecus,A.L.125–11,"Wynn et al., 2013",
